Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variation,GP-FSK-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,35.0,,,,,,,GP-FSK-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FSK-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,60.0,,,,,,,GP-FSK-VAR,,,,,,,Grammage,50g,1,1,,,,
variation,GP-FSK-100g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,79.9,100.0,,,,,,,GP-FSK-VAR,,,,,,,Grammage,100g,1,1,,,,
variable,GP-RMA-VAR,Résine CBD Marocaine,1,0,visible,"Hash traditionnel marocain au CBD. Texture souple, arômes terreux et épicés. CBD ~25%.","Découvrez notre Résine CBD Marocaine de qualité premium. Hash traditionnel marocain au CBD. Texture souple, arômes terreux et épicés. CBD ~25%. Taux de CBD : 25%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Résines CBD,"résine cbd, hash, marocain, traditionnel",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-RMA-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,7.9,8.9,,,,,,,GP-RMA-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-RMA-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.9,,,,,,,GP-RMA-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-RMA-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,34.9,,,,,,,GP-RMA-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-RMA-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,59.9,,,,,,,GP-RMA-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-RMA-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,99.9,119.9,,,,,,,GP-RMA-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-RMA-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,179.9,219.9,,,,,,,GP-RMA-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-RCH-VAR,Résine CBD Charas,1,0,visible,"Résine artisanale à la main, style indien. Texture crémeuse, arômes floraux. CBD ~28%.","Découvrez notre Résine CBD Charas de qualité premium. Résine artisanale à la main, style indien. Texture crémeuse, arômes floraux. CBD ~28%. Taux de CBD : 28%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Résines CBD,"résine cbd, charas, indien, artisanal",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-RCH-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,7.9,8.9,,,,,,,GP-RCH-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-RCH-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.9,,,,,,,GP-RCH-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-RCH-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,34.9,,,,,,,GP-RCH-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-RCH-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,59.9,,,,,,,GP-RCH-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-RCH-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,99.9,119.9,,,,,,,GP-RCH-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-RCH-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,179.9,219.9,,,,,,,GP-RCH-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-RICO-VAR,Résine CBD Ice-O-Lator,1,0,visible,"Extraction à l'eau glacée. Pureté maximale, arômes intenses. CBD ~35%.","Découvrez notre Résine CBD Ice-O-Lator de qualité premium. Extraction à l'eau glacée. Pureté maximale, arômes intenses. CBD ~35%. Taux de CBD : 35%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Résines CBD,"résine cbd, ice-o-lator, extraction eau, pur",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-RICO-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,7.9,8.9,,,,,,,GP-RICO-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-RICO-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.9,,,,,,,GP-RICO-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-RICO-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,34.9,,,,,,,GP-RICO-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-RICO-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,59.9,,,,,,,GP-RICO-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-RICO-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,99.9,119.9,,,,,,,GP-RICO-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-RICO-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,179.9,219.9,,,,,,,GP-RICO-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-RPO-VAR,Pollen CBD Premium,1,0,visible,"Pollen de haute qualité, texture fine et dorée. Arômes épicés et boisés. CBD ~30%.","Découvrez notre Pollen CBD Premium de qualité premium. Pollen de haute qualité, texture fine et dorée. Arômes épicés et boisés. CBD ~30%. Taux de CBD : 30%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Résines CBD,"résine cbd, pollen, premium, épicé",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-RPO-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,7.9,8.9,,,,,,,GP-RPO-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-RPO-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.9,,,,,,,GP-RPO-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-RPO-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,34.9,,,,,,,GP-RPO-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-RPO-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,59.9,,,,,,,GP-RPO-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-RPO-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,99.9,119.9,,,,,,,GP-RPO-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-RPO-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,179.9,219.9,,,,,,,GP-RPO-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-MROC-VAR,Moonrocks CBD,1,0,visible,Fleurs CBD enrobées de distillat et de kief. Concentration exceptionnelle. CBD ~40%.,"Découvrez notre Moonrocks CBD de qualité premium. Fleurs CBD enrobées de distillat et de kief. Concentration exceptionnelle. CBD ~40%. Taux de CBD : 40%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Moonrocks CBD,"moonrocks, cbd, concentré, kief, distillat",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_gorilla.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g,1,1,,,,
variation,GP-MROC-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,11.9,13.9,,,,,,,GP-MROC-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-MROC-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,29.9,34.9,,,,,,,GP-MROC-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-MROC-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,44.9,54.9,,,,,,,GP-MROC-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-MROC-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,79.9,99.9,,,,,,,GP-MROC-VAR,,,,,,,Grammage,10g,1,1,,,,
variable,GP-IROC-VAR,Icerocks CBD,1,0,visible,"Fleurs CBD recouvertes d'isolat de CBD pur. Blancheur cristalline, effet puissant. CBD ~50%.","Découvrez notre Icerocks CBD de qualité premium. Fleurs CBD recouvertes d'isolat de CBD pur. Blancheur cristalline, effet puissant. CBD ~50%. Taux de CBD : 50%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Moonrocks CBD,"icerocks, cbd, isolat, cristal, puissant",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_gorilla.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g,1,1,,,,
variation,GP-IROC-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,12.9,14.9,,,,,,,GP-IROC-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-IROC-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,32.9,37.9,,,,,,,GP-IROC-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-IROC-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,49.9,59.9,,,,,,,GP-IROC-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-IROC-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,89.9,109.9,,,,,,,GP-IROC-VAR,,,,,,,Grammage,10g,1,1,,,,
